No.,メギド名,入手手段,スタイル,クラス,攻撃回数(シフト後も含む）,飛行している,身長,性別,年齢,誕生日/転生日,内部属性,,,,,
祖01,バエル,メイン,バースト,スナイパー,,,124,男性,,1月11日,雷,,,,,
祖01,バエルC,召喚,カウンター,スナイパー,,,124,男性,,1月11日,雷,,,,,
祖02,アガレスC,イベント,カウンター,スナイパー,,,186,男性,26,6月29日,地,,,,,
祖02,アガレス,召喚,バースト,スナイパー,,,186,男性,26,6月29日,地,,,,,
祖03,ウァサゴB,召喚,バースト,ファイター,,,164,女性,19,4月5日,地,,,,,
祖03,ウァサゴ,召喚,ラッシュ,ファイター,,,164,女性,19,4月5日,地,,,,,
祖04,ガミジンB,イベント,バースト,ファイター,,,185,男性,28,3月17日,地,,,,,
祖04,ガミジン,召喚,カウンター,ファイター,,,185,男性,28,3月17日,地,,,,,
祖05,マルバスR,イベント,ラッシュ,スナイパー,,,145,女性,14,4月15日,地,,,,,
祖05,マルバス,召喚,カウンター,スナイパー,,,145,女性,14,4月15日,地,,,,,
祖06,ウァレフォルC,召喚,カウンター,ファイター,,,181,女性,25,3月20日,雷,,,,,
祖06,ウァレフォル,召喚,ラッシュ,ファイター,2,,181,女性,25,3月20日,地,,,,,
祖07,アモンR,召喚,ラッシュ,ファイター,3,,153,男性,13,8月19日,火,,,,,
祖07,アモン,召喚,バースト,ファイター,,,153,男性,13,8月19日,火,,,,,
祖08,バルバトスR,召喚,ラッシュ,スナイパー,,,173,男性,,6月9日,風,,,,,
祖08,バルバトス,メイン,カウンター,スナイパー,,,173,男性,,6月9日,風,,,,,
祖09,パイモンB,召喚,バースト,ファイター,,,179,男性,,9月19日,水,,,,,
祖09,パイモン,メイン,ラッシュ,ファイター,,,179,男性,,9月19日,水,,,,,
祖10,ブエルR,召喚,ラッシュ,スナイパー,,,148,女性,14,1月18日,水,,,,,
祖10,ブエル,召喚,バースト,スナイパー,,,148,女性,14,1月18日,水,,,,,
祖11,グシオンB,イベント,バースト,スナイパー,,,140,女性,12,9月4日,雷,,,,,
祖11,グシオン,召喚,カウンター,スナイパー,,,140,女性,12,9月4日,雷,,,,,
祖12,シトリーR,イベント,ラッシュ,トルーパー,,,165,女性,,2月9日,水,,,,,
祖12,シトリー,召喚,カウンター,トルーパー,2,,165,女性,,2月9日,雷,,,,,
祖13,ベレトB,召喚,バースト,トルーパー,,,147,女性,15,1月22日,氷,,,,,
祖13,ベレト,メイン,カウンター,トルーパー,,,147,女性,15,1月22日,氷,,,,,
祖14,レラジェR,イベント,ラッシュ,スナイパー,,,161,女性,18,4月13日,風,,,,,
祖14,レラジェ,召喚,カウンター,スナイパー,,,161,女性,18,4月13日,風,,,,,
祖15,エリゴスB,召喚,バースト,ファイター,2,,163,女性,25,5月9日,火,,,,,
祖15,エリゴス,召喚,ラッシュ,ファイター,2,,163,女性,25,5月9日,雷,,,,,
祖16,ゼパルC,召喚,カウンター,ファイター,,,153,女性,15,5月6日,火,,,,,
祖16,ゼパル,召喚,ラッシュ,ファイター,,,153,女性,15,5月6日,火,,,,,
祖17,ボティスR,イベント,ラッシュ,トルーパー,,,167,女性,24,12月20日,雷,,,,,
祖17,ボティス,召喚,カウンター,トルーパー,,,167,女性,24,12月20日,雷,,,,,
祖18,バティンB,召喚,バースト,トルーパー,,,163,女性,23,1月9日,火,,,,,
祖18,バティン,召喚,ラッシュ,トルーパー,,,163,女性,23,1月9日,火,,,,,
祖19,サレオスC,召喚,カウンター,ファイター,,,165,男性,25,7月9日,水,,,,,
