#,名前,メギド/ハルマ,メジャー,ヒント1,ヒント2,ヒント3,正式名称,出典
M1,バーシャ,メギド,,,,,バーシャ,ビフロンスキャラスト
M2,バルバリッサ,メギド,TRUE,サタン派の結構えらいメギド。,ソロモン誘拐事件の首謀者。,おそらく元ネタはダンテの「神曲」の悪魔,バルバリッサ,暴走少女と一つ目幻獣の島 (他5)
M3,カーラ,メギド,,,,,カーラ,アガリアレプトキャラスト (他1)
M4,シアエガ,メギド,,拒絶区画の一部で領主をしていたメギド。,かつてアリトンが仕えていた。,おそらく元ネタはクトゥルフ神話,シアエガ,アリトンキャラスト
M5,イゴールナク,メギド,,,,おそらく元ネタはクトゥルフ神話,イゴールナク,アリトンキャラスト
M6,アナキス,メギド,TRUE,寄生メギド。,,,アナキス,サラキャラスト (他15)
M7,ストリガ,メギド,TRUE,プルフラスやスコルベノトの元上官。,メギドができている。,おそらく元ネタはルーマニア伝承。,軍団長ストリガ,プルフラス・復讐の白百合 (他4)
M8,アシュレイ,メギド,TRUE,リビコの部下。,寄生メギドアナキスの研究をしていた。,,アシュレイ,プルフラス・復讐の白百合 (他4)
M9,リビコ,メギド,TRUE,サタナキアやアシュレイに研究をさせていた。,議席持ち,おそらく元ネタはダンテの「神曲」の悪魔,軍団長リビコ,プルフラス・復讐の白百合 (他2)
M10,バイアン,メギド,,,,,バイアン,プルフラスキャラスト
M11,ケリコフ,メギド,,,,,ケリコフ,プルフラスキャラスト (他1)
M12,フェルミ,メギド,,,,,フェルミ,ジニマルキャラスト (他2)
M13,ヒューガル,メギド,,,,,ヒューガル,ジニマルキャラスト (他2)
M14,ライカ,メギド,,,,,ライカ,アマイモンキャラスト
M15,イグニス,メギド,,,,,イグニスってヤツ,プロメテウスキャラスト
M16,カソグサ,メギド,TRUE,マルバスの大事な友達。,追放された。,おそらく元ネタはクトゥルフ神話,カソグサ,マルバスRキャラスト (他2)
